"企业简称","项目状态_1","投资规模","股比","退出金额_1","投资收益","股价/估值","主业","参股/控股","国民行业分类","战新分类","计划内外","境内外","主要经营业务","同行业竞争对手","地点","可研","议案及文号","决策层级","党组织","一票否决权_1","股权结构（工商）","股东大会","董事会","专项督查","工商变更","月度策略"
"明盛公司","初创期","4800000","18%","1800000","900000","7.5","环保产业","控股","水利、环境和公共设施管理业","节能环保","计划内","境内","环保设备研发与制造","XX 机构、XX 机构","长沙","是","[议案 11]011","高层","有","有","[结构 11]","已召开","已召开","已督查","已变更","[策略 11]"
"辉宏公司","成长期","6000000","25%","2500000","1500000","9.0","餐饮服务","参股","住宿和餐饮业","新餐饮","计划外","境外","餐饮品牌连锁经营","XX 集团、XX 集团","郑州","否","[议案 12]012","中层","否","否","[结构 12]","未召开","未召开","未督查","未变更","[策略 12]"
"宏瑞公司","衰退期","5200000","22%","2200000","1200000","8.2","房地产","控股","房地产业","特色房地产","计划内","境内","房地产开发与销售","XX 公司、XX 公司","济南","是","[议案 13]013","高层","有","有","[结构 13]","已召开","已召开","已督查","已变更","[策略 13]"
"金辉公司","复苏期","7000000","30%","3000000","2000000","10.0","旅游服务","参股","租赁和商务服务业","生态旅游","计划外","境外","旅游景区开发与运营","XX 企业、XX 企业","福州","否","[议案 14]014","中层","否","否","[结构 14]","未召开","未召开","未督查","未变更","[策略 14]"
"瑞昌公司","调整期","4600000","18%","1800000","900000","7.6","化工材料","控股","制造业","高性能材料","计划内","境内","化工材料研发与生产","XX 机构、XX 机构","合肥","是","[议案 15]015","高层","有","有","[结构 15]","已召开","已召开","已督查","已变更","[策略 15]"
"丰瑞公司","拓展期","6200000","26%","2600000","1600000","9.4","互联网金融","参股","金融业","互联网金融","计划外","境外","互联网金融服务平台运营","XX 集团、XX 集团","南昌","否","[议案 16]016","中层","否","否","[结构 16]","未召开","未召开","未督查","未变更","[策略 16]"
"永新公司","优化期","5600000","23%","2300000","1300000","8.6","人工智能","控股","信息传输、软件和信息技术服务业","人工智能","计划内","境内","人工智能技术研发与应用","XX 公司、XX 公司","沈阳","是","[议案 17]017","高层","有","有","[结构 17]","已召开","已召开","已督查","已变更","[策略 17]"
"明新公司","突破期","7800000","33%","3300000","2500000","11.2","生物制药","参股","制造业","生物医药","计划外","境外","生物药品研发与生产","XX 企业、XX 企业","长春","否","[议案 18]018","中层","否","否","[结构 18]","未召开","未召开","未督查","未变更","[策略 18]"
"辉新公司","创新期","4400000","17%","1700000","850000","7.0","跨境电商","控股","批发和零售业","跨境电商","计划内","境内","跨境电商平台运营","XX 机构、XX 机构","哈尔滨","是","[议案 19]019","高层","有","有","[结构 19]","已召开","已召开","已督查","已变更","[策略 19]"
"宏新公司","转型突破期","6600000","28%","2800000","1800000","9.6","智能家居","参股","制造业","智能家居","计划外","境外","智能家居产品研发与销售","XX 集团、XX 集团","石家庄","否","[议案 20]020","中层","否","否","[结构 20]","未召开","未召开","未督查","未变更","[策略 20]"
"金新公司","高速发展期","5400000","21%","2100000","1100000","8.3","云计算","控股","信息传输、软件和信息技术服务业","云计算","计划内","境内","云计算服务提供","XX 公司、XX 公司","太原","是","[议案 21]021","高层","有","有","[结构 21]","已召开","已召开","已督查","已变更","[策略 21]"
"瑞新公司","整合期","7200000","30%","3000000","2200000","10.5","大健康","参股","卫生和社会工作","大健康","计划外","境外","健康管理服务","XX 企业、XX 企业","南宁","否","[议案 22]022","中层","否","否","[结构 22]","未召开","未召开","未督查","未变更","[策略 22]"
"丰新公司","升级期","4200000","16%","1600000","800000","7.1","物联网","控股","信息传输、软件和信息技术服务业","物联网","计划内","境内","物联网技术应用与开发","XX 机构、XX 机构","贵阳","是","[议案 23]023","高层","有","有","[结构 23]","已召开","已召开","已督查","已变更","[策略 23]"
"永瑞公司","探索期","6400000","25%","2500000","1500000","9.2","影视娱乐","参股","文化、体育和娱乐业","影视制作","计划外","境外","影视作品制作与发行","XX 集团、XX 集团","昆明","否","[议案 24]024","中层","否","否","[结构 24]","未召开","未召开","未督查","未变更","[策略 24]"
"明瑞公司","跨越期","5000000","20%","2000000","1000000","8.0","区块链","控股","信息传输、软件和信息技术服务业","区块链","计划内","境内","区块链技术研发与应用","XX 公司、XX 公司","兰州","是","[议案 25]025","高层","有","有","[结构 25]","已召开","已召开","已督查","已变更","[策略 25]"
