"基金全称","基金简称","基金类型","基金编号","管理人名称","托管人名称","运作状态","基金阶段","统一社会信用代码","企业类型","执行事务合伙人","注册地址","基金存续期限","投资期","退出期","基金成立时间","首次交割日","投资期到期日","基金到期日期","","认缴金额","实缴金额","累计已分配金额","DPI","TVPI","Net IRR","Gross IRR","累计签约金额","累计交割金额","已投项目个数","已上市项目数量","已退出成本","累计收到分红"
"生物科技产业投资基金","生科产业基金","产业投资基金","SK202211","生物产业管理公司","建设银行","良好运作","扩张期","91350200MA45678917","有限合伙企业","赵华","厦门市湖里区嘉禾路 18 号","7 年","3 年","4 年","20220302","20220502","20250302","20290302","","5200","4200","720","0.18","1.32","15%","20%","6500","5000","10","3","1050","420"
"新能源创业投资基金","新能创业基金","创业投资基金","XN202112","新能源创业资本公司","招商银行","稳定运作","早期","91350300MA34567828","有限合伙企业","孙明","莆田市荔城区延寿路 20 号","6 年","2 年","4 年","20210403","20210603","20230403","20270403","","2500","2000","350","0.16","1.16","10%","15%","3500","2800","6","1","580","200"
"文化传媒并购基金","文传并购基金","并购基金","WC202013","文传并购管理公司","农业银行","有序运作","成熟期","91350500MA23456739","有限合伙企业","李勇","泉州市鲤城区九一街 15 号","4 年","1.5 年","2.5 年","20200505","20200705","20211105","20240505","","6200","4800","920","0.19","1.42","18%","23%","7800","6200","12","4","1350","580"
"金融科技发展基金","金科发展基金","发展基金","JK201914","金融科技资本公司","交通银行","活跃运作","成长期","91350600MA12345682","有限合伙企业","陈燕","漳州市龙文区水仙大街 8 号","8 年","3.5 年","4.5 年","20190606","20190806","20221206","20270606","","4600","3600","660","0.18","1.36","13%","19%","5600","4600","9","2","860","360"
"高端服务平衡基金","高端服务基金","平衡基金","GD201815","高端平衡资产管理公司","中信银行","高效运作","中后期","91350700MA07891243","有限合伙企业","周强","南平市建阳区人民西路 16 号","6 年","2.5 年","3.5 年","20180707","20180907","20210207","20240707","","4000","3200","580","0.17","1.26","11%","17%","5000","4000","7","1","720","280"
"教育产业投资基金","教育产业基金","产业基金","JY201716","教育投资公司","民生银行","平稳运作","扩张期","91350800MA65678924","有限合伙企业","吴敏","龙岩市永定区凤城街道 10 号","7 年","3 年","4 年","20170808","20171008","20200808","20240808","","3600","2800","460","0.15","1.18","10%","16%","4600","3600","6","1","620","220"
"养老产业创业基金","养老创业基金","创业基金","YL201617","养老创业资本公司","浦发银行","健康运作","早期","91350900MA45678925","有限合伙企业","郑丽","宁德市福鼎市古城南路 12 号","5 年","2 年","3 年","20160909","20161109","20180909","20210909","","2800","2200","380","0.15","1.12","12%","17%","3500","2800","5","1","520","180"
"环保产业发展基金","环保产业基金","发展基金","HB201518","环保发展管理公司","中国银行","成熟运作","成长期","91350400MA34567836","有限合伙企业","陈涛","三明市永安市燕江南路 18 号","8 年","3 年","5 年","20151010","20151210","20181010","20231010","","3800","3000","520","0.16","1.28","11%","16%","4800","3800","7","2","680","250"
"人工智能成长投资基金","人工成长基金","成长型基金","RG202319","人工智能投资管理公司","工商银行","正常运作","成长前期","91350100MA56789148","有限合伙企业","张华华","福州市仓山区上三路 8 号","5 年","2 年","3 年","20230303","20230503","20250303","20280303","","3300","2700","430","0.16","1.2","12%","18%","4000","3200","8","2","700","260"
"医疗健康产业投资基金","医健产业基金","产业投资基金","YJ202220","医疗健康产业管理公司","建设银行","良好运作","扩张期","91350200MA45678930","有限合伙企业","李明明","厦门市集美区集美大道 20 号","7 年","3 年","4 年","20220404","20220604","20250404","20290404","","5300","4300","730","0.17","1.3","15%","20%","6600","5200","10","3","1080","430"
"高端制造创业投资基金","高端制造基金","创业投资基金","GD202121","高端制造创业资本公司","招商银行","稳定运作","早期","91350300MA34567842","有限合伙企业","王强强","莆田市涵江区涵华东路 10 号","6 年","2 年","4 年","20210505","20210705","20230505","20270505","","2600","2100","360","0.15","1.15","10%","15%","3600","2800","6","1","600","210"
"互联网教育并购基金","互教并购基金","并购基金","HJ202022","互联网教育并购管理公司","农业银行","有序运作","成熟期","91350500MA23456747","有限合伙企业","赵勇勇","泉州市丰泽区泉秀街 20 号","4 年","1.5 年","2.5 年","20200606","20200806","20211206","20240606","","6300","4900","930","0.18","1.4","18%","23%","7900","6300","12","4","1380","590"
